id,categoria,numero,enunciado
1,primera_vuelta,1,Modelo User: Agregar los campos resetPasswordToken y resetPasswordExpires. API: Crear la ruta /forgot-password para generar un token expirable y actualizar el hash con bcrypt. Middleware: Crear un middleware que valide que el token de recuperacion sea valido y no haya expirado. Frontend: Crear el formulario en React para ingresar el correo y la nueva contrasena.
2,primera_vuelta,2,Modelo User: Agregar la columna profilePictureUrl. API: Crear el endpoint para actualizar la URL de la foto de perfil del usuario. Middleware: Usar el middleware de JWT para asegurar que solo el propio usuario cambie su foto. Frontend: Anadir un campo en el perfil en React para ingresar la URL de la foto y mostrar su vista previa.
3,primera_vuelta,3,Modelo User: Agregar los campos failedAttempts e lockUntil. API: Actualizar la ruta de Login para incrementar los intentos fallidos tras validar con bcrypt. Middleware: Crear un middleware checkLockout que bloquee el acceso al Login si la cuenta esta temporalmente suspendida. Frontend: Mostrar en la pantalla de Login en React un aviso con los intentos restantes o el tiempo de bloqueo.
4,primera_vuelta,4,Modelo User: Agregar el campo tokenVersion (entero). API: Crear la ruta /logout-all que incremente el valor de tokenVersion en la base de datos. Middleware: Modificar el middleware de JWT para que compare la version del token recibido con la del modelo User. Frontend: Agregar un boton 'Cerrar sesion en todos los dispositivos' que ejecute la peticion en React.
5,primera_vuelta,5,Modelo User: Agregar los campos twoFactorCode y twoFactorExpires. API: Hacer que el Login devuelva un token temporal y crear la ruta /verify-2fa para validar el codigo. Middleware: Crear un middleware require2FA que proteja las rutas hasta que se valide el codigo de 6 digitos. Frontend: Crear una pantalla intermedia en React para ingresar el codigo de verificacion antes de acceder.
6,primera_vuelta,6,Modelo User: Agregar el campo isDeleted (booleano). API: Crear el endpoint de baja de cuenta que cambie isDeleted a true. Middleware: Adaptar el middleware de JWT para rechazar peticiones si el campo isDeleted del usuario es true. Frontend: Agregar un boton 'Desactivar mi cuenta' en la configuracion del perfil en React.
7,primera_vuelta,7,Modelo User: Agregar la columna role ('admin', 'editor', 'user'). API: Incluir el rol del usuario en la firma del JWT durante el inicio de sesion. Middleware: Crear el middleware checkRole(['admin']) para restringir el acceso a rutas administrativas. Frontend: Ocultar o mostrar botones en React segun el rol almacenado en el Contexto de Autenticacion.
8,primera_vuelta,8,Modelo User: Agregar la columna isActive (booleano, por defecto true). API: Crear la ruta /admin/toggle-user para cambiar el estado de isActive. Middleware: Crear un middleware ensureActive que impida realizar peticiones a usuarios con isActive: false. Frontend: Disenar una tabla en React con switches para activar o desactivar usuarios desde el panel de control.
9,primera_vuelta,9,Modelo User: Agregar la columna permissions (JSON/ARRAY). API: Guardar la lista de permisos del usuario en la base de datos. Middleware: Crear un middleware hasPermission('EDIT_POST') que verifique la lista del usuario antes de responder. Frontend: Crear un Custom Hook usePermission en React para habilitar u ocultar componentes segun sus permisos.
10,primera_vuelta,10,Modelo User: Agregar el campo isModerator (booleano). API: Actualizar las rutas de comentarios para manejar el estado 'pending' o 'approved'. Middleware: Crear un middleware requireModerator que permita aprobar o rechazar comentarios. Frontend: Mostrar los comentarios pendientes unicamente si el usuario autenticado tiene rol de moderador en React.
11,primera_vuelta,11,Modelo User: Agregar el campo likedPosts (JSON/ARRAY) para guardar los IDs de publicaciones guardadas. API: Crear la ruta /posts/:id/like para dar o quitar un 'me gusta'. Middleware: Usar el middleware de JWT para verificar que usuario esta interactuando. Frontend: Renderizar el boton de 'Me Gusta' en React marcando dinamicamente si el usuario ya le dio click.
12,primera_vuelta,12,Modelo User: Agregar la columna activeCart (JSON). API: Crear el endpoint /cart para guardar y recuperar los productos del carrito. Middleware: Proteger la ruta del carrito mediante el middleware de JWT. Frontend: Adaptar el estado del carrito en React para sincronizarse con la API en lugar del localStorage.
13,primera_vuelta,13,Modelo User: Agregar el campo lastAuditLog (JSON) para guardar la ultima accion realizada. API: Crear la ruta para modificar productos en el sistema. Middleware: Crear un middleware de auditoria que registre en el modelo User el ID del usuario y la fecha de cada modificacion. Frontend: Mostrar una seccion de 'Ultima actividad' en el panel del usuario en React.
14,primera_vuelta,14,Modelo User: Agregar la columna searchPreferences (JSON) con los filtros guardados del usuario. API: Crear el endpoint de busqueda paginada filtrando segun la consulta recibida. Middleware: Usar un middleware de validacion para comprobar los parametros de consulta (query, page). Frontend: Construir un input de busqueda con debounce en React que envie el JWT y muestre los resultados.
15,primera_vuelta,15,Modelo User: Agregar las columnas shippingAddress y defaultAddressId. API: Crear el CRUD de direcciones asociadas a la cuenta. Middleware: Crear un middleware verifyOwnership que valide que el usuario solo modifique sus propias direcciones. Frontend: Crear el formulario de seleccion y carga de direccion dentro del proceso de checkout en React.
16,primera_vuelta,16,Modelo User: Agregar el campo ratedProductIds (JSON/ARRAY) para registrar calificaciones enviadas. API: Crear la ruta /products/:id/rate para procesar la puntuacion de un producto. Middleware: Proteger el endpoint mediante el middleware de JWT para impedir votos duplicados. Frontend: Disenar el componente de estrellas en React deshabilitando el voto si el usuario ya califico.
17,primera_vuelta,17,Modelo User: Agregar la columna themePreference ('dark' o 'light'). API: Crear el endpoint /user/theme para actualizar el tema elegido. Middleware: Usar el middleware de JWT para identificar al usuario que solicita el cambio. Frontend: Sincronizar el tema recibido de la API con el Contexto global de UI en React al iniciar sesion.
18,primera_vuelta,18,Modelo User: Agregar las columnas booleanas emailNotifications y pushNotifications. API: Crear la ruta PATCH /user/settings para modificar estas preferencias. Middleware: Proteger la ruta con el middleware de JWT. Frontend: Disenar la pantalla de configuraciones en React utilizando switches (toggles) para guardar las opciones.
19,primera_vuelta,19,Modelo User: Agregar el campo language ('es' o 'en'). API: Crear la ruta para actualizar el idioma preferido del perfil. Middleware: Crear un middleware setLocale que detecte el idioma guardado en el User y configure el header de respuesta. Frontend: Conectar la respuesta de la API con la libreria de traduccion en React para cambiar el idioma del sitio automaticamente.
20,primera_vuelta,20,Modelo User: Agregar las columnas documentUrl y verificationStatus ('pending', 'verified'). API: Crear la ruta /user/upload-document asociando el archivo cargado al usuario. Middleware: Utilizar un middleware de subida (Multer) combinado con el de JWT. Frontend: Crear la interfaz de carga de archivos en React mostrando el estado actual de verificacion del usuario.
21,primera_vuelta,21,Modelo User: Agregar la columna galleryOrder (JSON/ARRAY) para guardar el orden de sus imagenes. API: Crear el endpoint /user/reorder-gallery para guardar la nueva posicion. Middleware: Proteger la ruta mediante el middleware de JWT. Frontend: Implementar una vista interactiva en React que permita reordenar imagenes y guardar la lista en la API.
22,primera_vuelta,22,Modelo User: Agregar los campos planType ('free', 'premium') y planExpiresAt. API: Crear las rutas asociadas a las funciones especiales del sistema. Middleware: Crear el middleware requireActiveSubscription que verifique la fecha de expiracion del plan del usuario. Frontend: Renderizar avisos o bloquear funciones en React dependiendo del plan retornado por la API.
23,primera_vuelta,23,Modelo User: Agregar los campos monthlyApiQuota y apiUsageCount. API: Crear la ruta del servicio consumible por el usuario. Middleware: Crear un middleware rateLimiter que incremente apiUsageCount y bloquee si supera la cuota permitida. Frontend: Mostrar un modal de alerta en React informando al usuario cuando alcance su limite de peticiones.
24,primera_vuelta,24,Modelo User: Agregar las columnas termsAccepted (booleano) y termsAcceptedAt (fecha). API: Validar en la ruta de registro/login que los terminos esten aceptados. Middleware: Crear un middleware ensureTermsAccepted que obligue a la aceptacion antes de usar la API. Frontend: Agregar el checkbox obligatorio de TyC en React con su respectivo enlace modal de lectura.
25,primera_vuelta,25,Modelo User: Agregar la columna claimedCoupons (JSON/ARRAY) para registrar cupones usados. API: Crear la ruta /cart/apply-coupon para descontar el total de la compra. Middleware: Crear un middleware validateCoupon que verifique la validez del cupon y si el usuario ya lo utilizo. Frontend: Disenar la seccion de resumen de compra en React con el campo para aplicar el codigo de descuento.
26,primera_vuelta,26,Modelo User: Agregar la columna favoriteProductIds (ARRAY/JSON). API: Crear las rutas POST y DELETE para gestionar los favoritos. Middleware: Proteger las rutas mediante el middleware de JWT. Frontend: Anadir el boton con forma de corazon en la tarjeta de producto en React para guardar/quitar de la lista.
27,primera_vuelta,27,Modelo User: Agregar el campo pendingEmail. API: Crear la ruta /change-email que pida la contrasena actual (verificada con bcrypt) antes de guardar el nuevo correo. Middleware: Utilizar el middleware de JWT para identificar al usuario que solicita la modificacion. Frontend: Disenar el formulario en React solicitando la contrasena actual y el nuevo e-mail.
28,primera_vuelta,28,Modelo User: Agregar el campo booleano mustChangePassword. API: Adaptar el endpoint de Login para detectar este flag tras autenticar con bcrypt. Middleware: Crear un middleware forcePasswordChange que bloquee cualquier otra ruta si el flag esta activo. Frontend: Redirigir de forma obligatoria en React a la vista de 'Cambio de Clave' si la API devuelve dicha condicion.
29,primera_vuelta,29,Modelo User: Agregar la columna exportRequestedAt. API: Crear el endpoint /user/export-data que compile la informacion de la cuenta en un archivo JSON. Middleware: Proteger la descarga mediante el middleware de JWT. Frontend: Crear el boton 'Descargar mis datos' en el perfil de React que dispare la descarga del archivo.
30,primera_vuelta,30,Modelo User: Agregar el campo lastActivityAt. API: Crear la ruta para validar la sesion actual. Middleware: Crear un middleware global updateLastActivity que actualice la fecha en el modelo User en cada peticion autenticada. Frontend: Configurar un temporizador en React que cierre la sesion automaticamente tras un periodo de inactividad.
31,teoria,31,¿Que es useState y para que se usa?
32,teoria,32,¿Que es useEffect y para que sirve?
33,teoria,33,¿Que es un componente en React?
34,teoria,34,¿Que son las Props en React?
35,teoria,35,¿Que diferencia hay entre State y Props?
36,teoria,36,¿Que es el JSX en React?
37,teoria,39,¿Que es el Virtual DOM?
38,teoria,46,¿Que es React Router y para que se usa?
39,teoria,47,¿Que es la renderizacion condicional?
40,teoria,51,¿Que es req en Express o Node.js?
41,teoria,52,¿Que es res en Express o Node.js?
42,teoria,53,¿Que es un Middleware y como funciona?
43,teoria,54,¿Que es req.params?
44,teoria,55,¿Que es req.query?
45,teoria,56,¿Que es req.body?
46,teoria,57,¿Para que sirve next() en Express?
47,teoria,58,¿Que es Node.js?
48,teoria,59,¿Que es Express.js?
49,teoria,60,¿Que es un Endpoint?
50,teoria,61,¿Que es una API REST?
51,teoria,62,¿Que hace el codigo de estado HTTP 200?
52,teoria,63,¿Que hace el codigo de estado HTTP 201?
53,teoria,64,¿Que indica el codigo de estado HTTP 400?
54,teoria,65,¿Que indica el codigo de estado HTTP 401?
55,teoria,66,¿Que indica el codigo de estado HTTP 403?
56,teoria,67,¿Que indica el codigo de estado HTTP 404?
57,teoria,68,¿Que indica el codigo de estado HTTP 500?
58,teoria,69,¿Para que sirve cors en Express?
59,teoria,71,¿De cuantas partes se compone un JWT y cuales son?
60,teoria,72,¿Que contiene el Header de un JWT?
61,teoria,73,¿Que contiene el Payload de un JWT?
62,teoria,74,¿Que es la Firma (Signature) en un JWT?
63,teoria,75,¿Donde se recomienda guardar un JWT en el cliente?
64,teoria,76,¿Cuales son las partes de un hash de Bcrypt?
65,teoria,77,¿Que es el Salt en el hashing con Bcrypt?
66,teoria,78,¿Que es el Cost Factor (o rounds) en Bcrypt?
67,teoria,79,¿Que diferencia hay entre autenticacion y autorizacion?
68,teoria,80,¿Que es una Cookie HTTP-only?
69,teoria,81,¿Que es un Bearer Token?
70,teoria,83,¿Que es un hash y en que se diferencia del cifrado?
